id,url,dateposted,dateupdated,title,body,status,reviewer,exclusionary,actions_taken,referred_to,notes
77777777,https://www.wikipedia.org/,2024-01-01,2024-01-01,Apartment A,"QR Code Link to This Post Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged.",needs review,,not checked,,none,
77777778,https://www.wikipedia.org/,2024-01-02,2024-01-02,Apartment B,"QR Code Link to This Post Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged.",needs review,,not checked,,none,
77777779,https://www.wikipedia.org/,2024-01-03,2024-01-03,Apartment C,"QR Code Link to This Post Lorem Ipsum is simply dummy text of the printing and typesetting industry. Section 8 Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged.",needs review,,not checked,,none,
77777780,https://www.wikipedia.org/,2024-01-04,2024-01-04,Apartment D,"QR Code Link to This Post Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged.",needs review,,not checked,,none,
77777781,https://www.wikipedia.org/,2024-01-05,2024-01-05,Apartment E,"QR Code Link to This Post Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged.",needs review,,not checked,,none,
77777782,https://www.wikipedia.org/,2024-01-06,2024-01-06,Apartment F,"QR Code Link to This Post Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged.",needs review,,not checked,,none,
77777783,https://www.wikipedia.org/,2024-01-07,2024-01-07,Apartment G,"Lorem Ipsum is simply Section 8 dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged.",needs review,,not checked,,none,
77777784,https://www.wikipedia.org/,2024-01-08,2024-01-08,Apartment H,"QR Code Link to This Post Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged.",needs review,,not checked,,none,
77777785,https://www.wikipedia.org/,2024-01-09,2024-01-09,Apartment I,"QR Code Link to This Post Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged.",needs review,,not checked,,none,
77777786,https://www.wikipedia.org/,2024-01-10,2024-01-10,Apartment J,"QR Code Link to This Post Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged.",needs review,,not checked,,none,
77777787,https://www.wikipedia.org/,2024-01-11,2024-01-11,Apartment K,"QR Code Link to This Post Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged.",needs review,,not checked,,none,
